변수,성별,연령대,실측_가중,Gemini,EXAONE,Gemini_오차%p,EXAONE_오차%p
숏폼_이용,남성,70대이상,0.2827,0.0889,0.4254,-19.4,14.3
숏폼_이용,여성,10대,0.8083,0.9362,0.7402,12.8,-6.8
숏폼_이용,여성,10세미만,0.2273,,,,
숏폼_이용,여성,20대,0.8439,0.7172,0.6906,-12.7,-15.3
숏폼_이용,여성,30대,0.8899,0.3356,0.6206,-55.4,-26.9
숏폼_이용,여성,40대,0.7344,0.152,0.5655,-58.2,-16.9
숏폼_이용,여성,50대,0.6471,0.0578,0.572,-58.9,-7.5
숏폼_이용,여성,60대,0.4982,0.0629,0.4537,-43.5,-4.4
숏폼_이용,여성,70대이상,0.2914,0.08,0.4328,-21.1,14.1
SNS_이용,남성,10대,0.5909,0.9749,0.8954,38.4,30.5
SNS_이용,남성,10세미만,0.0,,,,
SNS_이용,남성,20대,0.9178,0.9517,0.9233,3.4,0.6
SNS_이용,남성,30대,0.8851,0.6967,0.8417,-18.8,-4.3
SNS_이용,남성,40대,0.7887,0.3383,0.785,-45.0,-0.4
SNS_이용,남성,50대,0.6308,0.1917,0.6683,-43.9,3.8
SNS_이용,남성,60대,0.4203,0.0883,0.5767,-33.2,15.6
SNS_이용,남성,70대이상,0.0787,0.0283,0.4833,-5.0,40.5
SNS_이용,여성,10대,0.7012,0.998,0.9714,29.7,27.0
SNS_이용,여성,10세미만,0.0,,,,
SNS_이용,여성,20대,0.9068,0.9933,0.96,8.7,5.3
SNS_이용,여성,30대,0.8933,0.905,0.8846,1.2,-0.9
SNS_이용,여성,40대,0.8465,0.6767,0.8147,-17.0,-3.2
SNS_이용,여성,50대,0.5929,0.3233,0.7167,-27.0,12.4
SNS_이용,여성,60대,0.3517,0.1583,0.615,-19.3,26.3
SNS_이용,여성,70대이상,0.0541,0.025,0.4783,-2.9,42.4
메신저_이용,남성,10대,0.9531,1.0,0.8368,4.7,-11.6
메신저_이용,남성,10세미만,0.5255,,,,
메신저_이용,남성,20대,0.9828,1.0,0.8833,1.7,-9.9
메신저_이용,남성,30대,0.986,1.0,0.8133,1.4,-17.3
메신저_이용,남성,40대,0.9876,1.0,0.7383,1.2,-24.9
메신저_이용,남성,50대,0.9806,0.9983,0.6383,1.8,-34.2
메신저_이용,남성,60대,0.9321,0.9933,0.5167,6.1,-41.5
메신저_이용,남성,70대이상,0.6958,0.8667,0.445,17.1,-25.1
메신저_이용,여성,10대,0.9539,1.0,0.9,4.6,-5.4
메신저_이용,여성,10세미만,0.7049,,,,
메신저_이용,여성,20대,0.9991,1.0,0.8983,0.1,-10.1
메신저_이용,여성,30대,0.9869,1.0,0.8161,1.3,-17.1
메신저_이용,여성,40대,0.9949,1.0,0.7629,0.5,-23.2
메신저_이용,여성,50대,0.9878,1.0,0.6717,1.2,-31.6
메신저_이용,여성,60대,0.9444,1.0,0.54,5.6,-40.4
메신저_이용,여성,70대이상,0.5394,0.7933,0.4383,25.4,-10.1
메타버스_이용,남성,10대,0.202,0.136,0.1883,-6.6,-1.4
메타버스_이용,남성,10세미만,0.2597,,,,
메타버스_이용,남성,20대,0.1433,0.0417,0.205,-10.2,6.2
메타버스_이용,남성,30대,0.1036,0.0167,0.18,-8.7,7.6
메타버스_이용,남성,40대,0.0301,0.005,0.1417,-2.5,11.2
메타버스_이용,남성,50대,0.0158,0.0,0.125,-1.6,10.9
메타버스_이용,남성,60대,0.0001,0.0,0.1,-0.0,10.0
메타버스_이용,남성,70대이상,0.0,0.0,0.075,0.0,7.5
메타버스_이용,여성,10대,0.2457,0.1469,0.1694,-9.9,-7.6
메타버스_이용,여성,10세미만,0.0876,,,,
메타버스_이용,여성,20대,0.0804,0.015,0.1933,-6.5,11.3
메타버스_이용,여성,30대,0.0713,0.0017,0.1823,-7.0,11.1
메타버스_이용,여성,40대,0.0229,0.0017,0.1486,-2.1,12.6
메타버스_이용,여성,50대,0.0034,0.0,0.1117,-0.3,10.8
메타버스_이용,여성,60대,0.0001,0.0,0.0917,-0.0,9.2
메타버스_이용,여성,70대이상,0.0,0.0,0.05,0.0,5.0
콘텐츠구독_이용,남성,10대,0.2233,0.5983,0.4372,37.5,21.4
콘텐츠구독_이용,남성,10세미만,0.0872,,,,
콘텐츠구독_이용,남성,20대,0.551,0.84,0.5533,28.9,0.2
콘텐츠구독_이용,남성,30대,0.3679,0.7267,0.555,35.9,18.7
콘텐츠구독_이용,남성,40대,0.2369,0.4167,0.4883,18.0,25.1
콘텐츠구독_이용,남성,50대,0.1683,0.1933,0.4233,2.5,25.5
콘텐츠구독_이용,남성,60대,0.0847,0.0483,0.3517,-3.6,26.7
콘텐츠구독_이용,남성,70대이상,0.0337,0.0167,0.285,-1.7,25.1
콘텐츠구독_이용,여성,10대,0.3185,0.7837,0.5102,46.5,19.2
콘텐츠구독_이용,여성,10세미만,0.0,,,,
콘텐츠구독_이용,여성,20대,0.4765,0.8983,0.5017,42.2,2.5
콘텐츠구독_이용,여성,30대,0.4059,0.7367,0.5452,33.1,13.9
콘텐츠구독_이용,여성,40대,0.2714,0.4983,0.5125,22.7,24.1
콘텐츠구독_이용,여성,50대,0.1597,0.1417,0.4467,-1.8,28.7
콘텐츠구독_이용,여성,60대,0.0681,0.0217,0.3267,-4.6,25.9
콘텐츠구독_이용,여성,70대이상,0.013,0.0033,0.2833,-1.0,27.0
